pid,marca_temporal,voiles,resumen
52,5/22/2020 7:15:39,Nostalgia un poco de tristeza recuerdos,Nostalgia Tristeza
53,5/22/2020 8:59:32,Sensacion de misterio ,Misterio
54,5/22/2020 9:27:01,Paz,Paz
55,5/22/2020 9:44:03,Tristeza,Tristeza
56,5/22/2020 9:46:25,Teisteza,Tristeza
57,5/22/2020 10:18:24,Senti que esta pieza es como una plantilla a la que se le puede incorporar muchas cosas del universo que describe sin cambiarla porque lo que describe es la vida con las sensaciones que uno tiene incertidumbre miedo pero tambien alegria y aveces tristeza ,Alegria Incertidumbre Miedo Tristeza
58,5/22/2020 12:41:36,Suspenso intriga,Intriga Suspenso
59,5/22/2020 13:00:39,Mas que emociones la audicion me llevo a pensar en las ideas de orden claridad y sencillez ,Claridad Orden Sencillez
60,5/22/2020 13:21:49,Color experimentacion exotismo misterio tranquilidad paz  ,Exotismo Experimentacion Misterio Paz Tranquilidad
61,5/22/20 21:22,incertidumbre,Incertidumbre
62,5/22/20 21:38,Tranquilidad paz pureza equilibrio ,Calma Pureza
63,5/22/20 22:15,Intriga sorpresa felicidad ,Felicidad Intriga Sorpresa
64,5/23/20 5:55,Incertidumbre ,Incertidumbre
65,5/23/20 7:33,Tranquilidad misterio,Misterio Tranquilidad
66,5/23/20 15:38,Pasion y tranquilidad ,Pasion Tranquilidad
67,5/23/20 17:09,Paz serenidad tranquilidad y libertad ,Libertad Paz Serenidad Tranquilidad
68,5/24/20 17:24,nervios aburrimiento y sueno,Aburrimiento Nerviosismo
69,5/24/20 18:14,Inocencia  curiosidad busqueda y descubrimiento sorpresa ,Busqueda Curiosidad Descubrimiento Inocencia Sorpresa
70,5/24/20 18:30,Intriga ,Intriga
71,28/05/2020  04:15:38 p  m ,Incertidumbre,Incertidumbre
72,29/05/2020  01:45:27 p  m ,Incertidumbre sosobra  ,Incertidumbre Sosobra
